fire,species,ba50
1760,Abies balsamea,1.311985632
1760,Betula papyrifera,2.330205348
1760,Picea glauca,0.570808536
1760,Populus tremuloides,2.06952416
1760,Thuja occidentalis,33.19976118
1797,Abies balsamea,4.336794568
1797,Betula papyrifera,8.15228266
1797,Picea glauca,2.999885876
1797,Populus tremuloides,3.233514088
1797,Thuja occidentalis,8.280605204
1823,Abies balsamea,7.804542072
1823,Betula papyrifera,3.040264248
1823,Picea glauca,7.89628056
1823,Populus tremuloides,6.91002598
1823,Thuja occidentalis,8.036599544
1847,Abies balsamea,4.241383584
1847,Betula papyrifera,2.69685898
1847,Picea glauca,0.95000662
1847,Populus tremuloides,19.553617464
1870,Abies balsamea,1.499372216
1870,Betula papyrifera,2.855620808
1870,Picea glauca,8.829081068
1870,Populus tremuloides,9.731648064
1916,Abies balsamea,5.793417576
1916,Betula papyrifera,3.947107092
1916,Picea glauca,2.949809816
1916,Populus tremuloides,17.141758012
1916,Thuja occidentalis,1.109117292
1944,Abies balsamea,0.517536544
1944,Betula papyrifera,0.46682234
1944,Populus tremuloides,15.078639836
