year,DC,DD,GS.T
1998,108.66179,1521.8,15
1999,140.56847,1576.6,15.4
2000,76.18922,1242.5,14
2001,146.58524,1619.5,15
2002,182.74261,1466.5,15.3
2003,106.06539,1496.1,15.6
2004,98.71535,1312.8,13.5
2005,179.97075,1726.9,16.1
2006,144.1631,1500.7,14.3
2007,190.58749,1517.7,13.8
2008,57.01733,1403.3,13.1
2009,77.24158,1319.2,14.2
2010,132.88048,1554.5,14.6
2011,142.40157,1553.1,14.3
2012,121.9605,1598.4,14.5
2013,118.89787,1487.3,14.1
2014,123.21918,1396.8,14.5
2015,143.80269,1588.4,15.8
2016,111.98982,1625.1,14.7
2017,84.89564,1462.8,13.3
2018,147.17072,1529.8,15
